,ID,acreage,so_PN,so_WC,price,frontage,area,city
21,269430,40.0,3.1243811080577566,3.009789930210653,165354402.83555704,1,Quốc Oai,Hà Nội
22,269429,56.0,3.270036656929326,3.139763217115311,165354402.83558008,0,Hà Đông,Hà Nội
23,269428,56.0,3.270036656929326,3.139763217115311,165354402.83558008,1,Hà Đông,Hà Nội
24,269427,48.0,3.1972088824935416,3.074776573662982,165354402.83556855,0,Hà Đông,Hà Nội
25,269426,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Hà Đông,Hà Nội
26,269425,60.0,3.3064505441472183,3.172256538841475,165354402.83558583,1,Hà Đông,Hà Nội
27,269423,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,1,Hà Đông,Hà Nội
28,269422,68.83060439968483,4.0,3.7774841294054293,165354402.83559856,0,Hà Đông,Hà Nội
29,269421,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Hà Đông,Hà Nội
30,269419,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Hà Đông,Hà Nội
31,269416,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Hà Đông,Hà Nội
32,269415,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Hà Đông,Hà Nội
33,269413,64.86492274531011,3.356493387564115,3.202604952961363,13.8,0,Cầu Giấy,Hà Nội
34,269412,68.79473226038151,4.0,3.0,13.5,1,Quận 10,TP Hồ Chí Minh
35,269411,54.53440219235659,1.0,1.0,2.9,0,Bình Tân,TP Hồ Chí Minh
36,269410,64.86492273788693,3.356493387670563,3.20260495262375,8.8,1,Tân Bình,TP Hồ Chí Minh
37,269407,57.2784452401007,2.0,3.0,0.00045,1,Hóc Môn,TP Hồ Chí Minh
38,269406,57.278445248265534,2.0,3.0,5.5,0,Tiểu Cần,Trà Vinh
39,269405,68.65579281892832,3.0,4.0,4800000000.0,0,Tân Bình,TP Hồ Chí Minh
40,269402,71.0,2.0,3.0,0.000284,0,Trà Vinh,Trà Vinh
41,269396,56.0,1.0,1.0,2.9,0,Bình Tân,TP Hồ Chí Minh
42,269395,52.0,2.0,2.0,3.15,0,Quận 8,TP Hồ Chí Minh
43,269394,100.0,3.670589416326143,3.497189756103121,165354402.8356434,0,Thanh Xuân,Hà Nội
44,269393,100.0,3.670589416326143,3.497189756103121,165354402.8356434,0,Thanh Xuân,Hà Nội
45,269388,63.0,6.0,5.51644675408086,165354402.83559024,0,Đống Đa,Hà Nội
46,269387,74.0,6.0,5.5186759428344025,165354402.8356061,0,Đống Đa,Hà Nội
47,269386,60.0,2.0,1.0,6.6,0,Hồng Bàng,Hải Phòng
48,269384,150.0,4.0,6.0,17.9,1,Cầu Giấy,Hà Nội
49,269383,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Cầu Giấy,Hà Nội
50,269382,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Cầu Giấy,Hà Nội
51,269381,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,1,Cầu Giấy,Hà Nội
52,269380,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Cầu Giấy,Hà Nội
53,269379,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,1,Cầu Giấy,Hà Nội
54,269378,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,1,Cầu Giấy,Hà Nội
55,269376,57.06882625708083,2.0,2.020777983837159,5.8,0,Quận 11,TP Hồ Chí Minh
56,269373,68.58511325576085,4.0,3.7632560170783864,4.75,0,Hà Đông,Hà Nội
57,269370,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Bắc Từ Liêm,Hà Nội
58,269369,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Bắc Từ Liêm,Hà Nội
59,269367,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Bắc Từ Liêm,Hà Nội
60,269366,49.0,3.2063123542980145,3.082899904094523,165354402.83557,0,Nam Từ Liêm,Hà Nội
61,269365,139.0,3.0,2.0,4.5,0,Gò Vấp,TP Hồ Chí Minh
62,269363,50.0,3.2154158261024874,3.0910232345260638,165354402.83557144,0,Bắc Từ Liêm,Hà Nội
63,269362,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Nam Từ Liêm,Hà Nội
64,269361,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Bắc Từ Liêm,Hà Nội
65,269360,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Tây Hồ,Hà Nội
66,269359,68.7947322477621,4.0,3.0,5.0,0,Biên Hòa,Đồng Nai
67,269358,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Bắc Từ Liêm,Hà Nội
68,269357,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Bắc Từ Liêm,Hà Nội
69,269356,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Nam Từ Liêm,Hà Nội
70,269354,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Bắc Từ Liêm,Hà Nội
71,269353,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Bắc Từ Liêm,Hà Nội
72,269350,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Bắc Từ Liêm,Hà Nội
73,269349,64.54363896425602,3.0,2.0,0.00085,0,Biên Hòa,Đồng Nai
74,269348,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Bắc Từ Liêm,Hà Nội
75,269347,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Bắc Từ Liêm,Hà Nội
76,269346,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Bắc Từ Liêm,Hà Nội
77,269345,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,1,Bắc Từ Liêm,Hà Nội
78,269343,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Hà Đông,Hà Nội
79,269342,65.11041387579814,3.3529730527747352,3.213770119396517,165354402.8355932,0,Hà Đông,Hà Nội
80,269341,60.0,3.3064505441472183,3.172256538841475,165354402.83558583,0,Hà Đông,Hà Nội
81,269338,48.0,3.1972088824935416,3.074776573662982,165354402.83556855,0,Hà Đông,Hà Nội
82,269337,58.0,4.0,6.0,7.8,0,Gò Vấp,TP Hồ Chí Minh
83,269336,60.0,3.3064505441472183,3.172256538841475,165354402.83558583,1,Cầu Giấy,Hà Nội
84,269335,34.0,3.069760277230918,2.961049947621406,165354402.8355484,0,Cầu Giấy,Hà Nội
85,269334,25.0,2.9878290309906594,2.8879399737375353,165354402.83553547,0,Cầu Giấy,Hà Nội
86,269333,38.0,3.1061741644488103,2.9935432693475703,165354402.83555415,0,Cầu Giấy,Hà Nội
87,269332,47.0,3.1881054106890683,3.066653243231441,165354402.83556712,1,Cầu Giấy,Hà Nội
88,269331,37.0,4.0,3.0,3.5,0,Hồng Bàng,Hải Phòng
89,269330,90.0,2.0,1.0,1.75,1,Thuận An,Bình Dương
90,269329,113.0,2.0,2.0,2.35,0,Quận 4,TP Hồ Chí Minh
91,269328,80.0,2.0,2.0,3300000000.0,0,Gò Vấp,TP Hồ Chí Minh
92,269327,58.0,3.2939987572881915,3.146838916515213,3.0,0,Đống Đa,Hà Nội
93,269326,64.86492272935027,3.3564933877929786,3.202604952235495,3.05,0,Hoàng Mai,Hà Nội
94,269325,64.86492274471627,3.356493387572631,3.2026049529343545,13.4,0,Đống Đa,Hà Nội
95,269324,60.55339115272484,5.630205628603137,6.0,73.0,1,Bình Thạnh,TP Hồ Chí Minh
96,269322,64.86492273414565,3.356493387724213,3.202604952453593,6.28,0,Từ Sơn,Bắc Ninh
97,269319,70.30178247135198,4.0,2.0,4.7,0,Bình Tân,TP Hồ Chí Minh
98,269318,66.02612294324437,4.0,5.0,165354402.83559462,0,Quận 7,TP Hồ Chí Minh
99,269317,67.28768202149988,4.0,4.0,3.5,1,Thủ Đức,TP Hồ Chí Minh
100,269312,45.0,2.0,2.0,3.95,0,Gò Vấp,TP Hồ Chí Minh
101,269310,60.0,2.0,2.0,3.95,0,Bình Tân,TP Hồ Chí Minh
102,269308,71.0,2.0,2.0,7.8,0,Tân Bình,TP Hồ Chí Minh
103,269306,150.0,4.131518163230808,3.894185316326806,4.98,0,Hà Đông,Hà Nội
104,269305,150.0,4.131518163230808,3.894185316326806,4.98,0,Hà Đông,Hà Nội
105,269304,78.0,4.0,4.0,13.6,1,Nam Từ Liêm,Hà Nội
106,269303,215.0,15.0,16.0,15.0,1,Bình Thạnh,TP Hồ Chí Minh
107,269301,100.0,3.0,2.0,0.00095,0,Vĩnh Cửu,Đồng Nai
108,269291,56.0,3.275791813383751,3.1305922561230073,11.49,1,Hà Đông,Hà Nội
109,269282,100.0,3.6763445731804625,3.4880187944735765,0.00048,0,Thủ Dầu Một,Bình Dương
110,269281,420.0,38.0,33.4169231754402,18.0,0,Thủ Đức,TP Hồ Chí Minh
